成交时间,证券代码,买卖标志,成交价格,成交数量,成交金额,成交编号,账户ID,日期
100517,553,买入,15.77,100,1577,104000004538630.00 ,680135528,20170430
100517,520,买入,3.49,400,1396,104000004538654.00 ,680135528,20170430
100517,2183,买入,7.36,300,2208,101000004426030.00 ,680135528,20170430
100517,2153,买入,29.03,400,11612,101000004426042.00 ,680135528,20170430
100517,603260,买入,74.7,100,7470,3133659.00 ,680135528,20170430
100517,2458,买入,18.13,200,3626,102000004480453.00 ,680135528,20170430
100517,2024,买入,14.67,300,4401,101000004426143.00 ,680135528,20170430
100517,300226,买入,59.7,100,5970,102000004480503.00 ,680135528,20170430
100517,600859,买入,23.53,300,7059,3133717.00 ,680135528,20170430
100517,600315,买入,43.77,100,4377,3133726.00 ,680135528,20170430
100517,600673,买入,10.12,300,3036,3133852.00 ,680135528,20170430
100517,300075,买入,14.5,200,2900,102000004480557.00 ,680135528,20170430
100517,300736,买入,29.35,100,2935,102000004480581.00 ,680135528,20170430
100517,155,买入,6.71,200,1342,104000004538894.00 ,680135528,20170430
100517,600622,买入,11.23,100,1123,3133842.00 ,680135528,20170430
100517,600172,买入,5.08,200,1016,3133884.00 ,680135528,20170430
100517,600810,买入,13.43,700,9401,3133934.00 ,680135528,20170430
100517,2439,买入,23.98,300,7194,101000004426386.00 ,680135528,20170430
100517,600614,买入,7.4,200,1480,3133929.00 ,680135528,20170430
100517,601012,买入,23.92,100,2392,3133976.00 ,680135528,20170430
100517,300365,买入,21.1,100,2110,104000004538998.00 ,680135528,20170430
100517,2589,买入,13.44,200,2688,101000004426472.00 ,680135528,20170430
100517,702,买入,6.35,100,635,103000004601219.00 ,680135528,20170430
100517,703,买入,16.99,500,8495,102000004480808.00 ,680135528,20170430
100517,2366,买入,16.39,100,1639,104000004539069.00 ,680135528,20170430
100517,952,买入,14.6,100,1460,101000004426531.00 ,680135528,20170430
100517,2422,买入,32.96,200,6592,104000004539091.00 ,680135528,20170430
100517,600967,买入,11.86,400,4744,3133983.00 ,680135528,20170430
100517,300298,买入,23.69,100,2369,104000004539142.00 ,680135528,20170430
100517,601599,买入,5.04,100,504,3134001.00 ,680135528,20170430
100517,603722,买入,40.7,100,4070,3134007.00 ,680135528,20170430
100517,426,买入,7.29,100,729,103000004601409.00 ,680135528,20170430
100517,300202,买入,19.23,100,1923,101000004426658.00 ,680135528,20170430
100517,600153,买入,10.81,300,3243,3134037.00 ,680135528,20170430
100517,300160,买入,5.24,100,524,104000004539237.00 ,680135528,20170430
100517,2271,买入,35.46,100,3546,103000004601520.00 ,680135528,20170430
100517,600161,买入,28.79,300,8637,3134114.00 ,680135528,20170430
100517,600311,买入,4.02,300,1206,3134181.00 ,680135528,20170430
100517,600256,买入,4.26,600,2556,3134166.00 ,680135528,20170430
100517,300039,买入,6.81,700,4767,104000004539282.00 ,680135528,20170430
100518,2522,买入,10.26,200,2052,104000004539352.00 ,680135528,20170430
100518,778,买入,4.68,400,1872,103000004601680.00 ,680135528,20170430
100518,2091,买入,7.5,400,3000,104000004539450.00 ,680135528,20170430
100517,600763,买入,47.39,100,4739,3134261.00 ,680135528,20170430
100518,300571,买入,64.78,100,6478,101000004426853.00 ,680135528,20170430
100518,300081,买入,13.12,100,1312,102000004481125.00 ,680135528,20170430
100518,300425,买入,5.2,600,3120,102000004481141.00 ,680135528,20170430
100517,603680,买入,37.1,100,3710,3134299.00 ,680135528,20170430
100517,600711,买入,10.86,200,2172,3134351.00 ,680135528,20170430
100517,601228,买入,5.83,200,1166,3134273.00 ,680135528,20170430
100518,2477,买入,3.63,100,363,104000004539527.00 ,680135528,20170430
100518,2886,买入,33.08,100,3308,104000004539563.00 ,680135528,20170430
100518,2717,买入,10.74,400,4296,102000004481213.00 ,680135528,20170430
100518,2663,买入,3.61,200,722,104000004539598.00 ,680135528,20170430
100518,2877,买入,21.68,100,2168,104000004539607.00 ,680135528,20170430
100518,829,买入,8.55,300,2565,104000004539619.00 ,680135528,20170430
100518,2094,买入,22.73,100,2273,101000004427053.00 ,680135528,20170430
100518,2929,买入,48.84,100,4884,103000004601914.00 ,680135528,20170430
100518,2129,买入,9.79,100,979,101000004427104.00 ,680135528,20170430
100518,975,买入,15.89,100,1589,101000004427109.00 ,680135528,20170430
100518,600176,买入,11.77,200,2354,3134472.00 ,680135528,20170430
100518,601607,买入,26.29,500,13145,3134467.00 ,680135528,20170430
100518,2154,买入,3.36,100,336,103000004601943.00 ,680135528,20170430
100518,2127,买入,10.6,500,5300,101000004427147.00 ,680135528,20170430
100518,600755,买入,8.38,300,2514,3134471.00 ,680135528,20170430
100518,600789,买入,10.47,1000,10470,3134521.00 ,680135528,20170430
100518,525,买入,19.74,200,3948,103000004601996.00 ,680135528,20170430
